,date,days,exit,mean,median,model,name,price,signal,stop_loss,success,take_profit,ticker,trades,tscore,volume
0,2020-01-16T00:00:00.000Z,12.333333333333334,1:3_ATR[20],0.026739302150597097,0.02687597164509297,TRIMA[100]_price_crossover,"Lennox International, Inc.",247.43,Buy,243.77134382688806,1.0,248.649552057704,LII,15,30.942772202311403,279932
1,2020-01-16T00:00:00.000Z,9.5625,1:3_ATR[20],0.03633905424956034,0.03390527004004219,CMO[21]_crosses_0_level,"World Wrestling Entertainment, Inc.",63.8,Buy,60.14134382688805,1.0,65.01955205770398,WWE,16,17.440692846629673,1387754
2,2020-01-16T00:00:00.000Z,6.277777777777778,1:3_ATR[20],0.029565784403306112,0.028904512195205224,BBANDS[50_2_2]_breakout,"Amedisys, Inc.",181.32,Buy,177.66134382688804,1.0,182.539552057704,AMED,18,31.81861567986811,225636
3,2020-01-16T00:00:00.000Z,7.9411764705882355,1:3_ATR[20],0.06776131780440639,0.06687517016016394,MFI[9]_crosses_back_70_30_levels,"Arrowhead Pharmaceuticals, Inc.",57.11,Buy,53.45134382688805,1.0,58.329552057703985,ARWR,17,16.96396438566956,1151413
4,2020-01-16T00:00:00.000Z,9.588235294117647,1:3_ATR[20],0.025076029439434794,0.02850237461689597,BBANDS[20_1_1]_breakout,"Activision Blizzard, Inc",60.43,Buy,56.77134382688805,0.9705882352941176,61.649552057703985,ATVI,34,7.784601494952532,6451241
5,2020-01-16T00:00:00.000Z,8.447368421052632,1:3_ATR[20],0.017280127114113104,0.01743575103829212,TRIMA[20]_price_crossover,American States Water Company,86.73,Buy,83.07134382688805,0.9736842105263158,87.94955205770398,AWR,38,10.521317114471234,210309
6,2020-01-16T00:00:00.000Z,7.882352941176471,1:3_ATR[20],0.02151028103789286,0.02205328904407043,BBANDS[10_2_2]_breakout,BHP Billiton PLC,47.55,Buy,43.89134382688805,1.0,48.76955205770398,BBL,17,21.817306848208997,819350
7,2020-01-16T00:00:00.000Z,10.368421052631579,1:3_ATR[20],0.022603074117915657,0.02092393790275382,BBANDS[20_2_2]_counter_trend,The Bank of New York Mellon Corporation,46.72,Buy,43.06134382688805,1.0,47.939552057703985,BK,19,13.992004601975648,12302071
8,2020-01-16T00:00:00.000Z,6.117647058823529,1:3_ATR[20],0.02887207120285737,0.02895386044659681,STOCHRSI[9_5_3]_D_crosses_50_level,"Continental Building Products, Inc.",36.58,Buy,32.92134382688805,1.0,37.799552057703984,CBPX,17,25.090343171841795,293221
9,2020-01-16T00:00:00.000Z,10.823529411764707,1:3_ATR[20],0.025760810023483013,0.022908786004749514,SR[10]_counter_trend,Central Valley Community Bancorp,20.78,Buy,17.12134382688805,1.0,21.999552057703983,CVCY,17,10.76161890927804,54387
10,2020-01-16T00:00:00.000Z,10.533333333333333,1:3_ATR[20],0.050345130019760924,0.04608136706663333,CCI[40]_crosses_back_100_(-100)_levels,"Commercial Vehicle Group, Inc.",6.06,Buy,2.401343826888051,1.0,7.279552057703983,CVGI,15,17.5545228738373,177889
11,2020-01-16T00:00:00.000Z,5.5625,1:3_ATR[20],0.018600381430373326,0.017752830474039263,ACCBANDS[20]_breakout,Dover Corporation,119.6,Buy,115.94134382688804,1.0,120.81955205770397,DOV,16,18.491140043845213,646080
12,2020-01-16T00:00:00.000Z,9.2,1:3_ATR[20],0.037593552525676845,0.040668985163543434,CMO[21]_crosses_0_level,"DXP Enterprises, Inc.",39.2,Buy,35.54134382688805,1.0,40.41955205770399,DXPE,15,17.930405597938496,44728
13,2020-01-16T00:00:00.000Z,12.533333333333333,2:3_ATR[20],0.07452312591926927,0.08133797032708687,CMO[21]_crosses_0_level,"DXP Enterprises, Inc.",39.2,Buy,35.54134382688805,1.0,41.63910411540797,DXPE,15,15.577150674070086,44728
14,2020-01-16T00:00:00.000Z,15.5,2:3_ATR[20],0.09007800399130238,0.09695511101438083,MFI[14]_crosses_70_30_levels,Eagle Bulk Shipping Inc.,4.27,Buy,0.6113438268880511,1.0,6.709104115407966,EGLE,16,10.160271632558263,208505
15,2020-01-16T00:00:00.000Z,9.0625,1:3_ATR[20],0.05561422024655303,0.04916815414078282,MFI[14]_crosses_70_30_levels,Eagle Bulk Shipping Inc.,4.27,Buy,0.6113438268880511,1.0,5.489552057703983,EGLE,16,7.7378337648439794,208505
