index,date,signal,ticker,trade_date
0,2019-09-06,Buy,APD,2019-09-06
1,2019-09-06,Sell,T,2019-09-06
2,2019-09-09,Buy,APD,2019-09-09
3,2019-09-09,Buy,VEEV,2019-09-09
4,2019-09-09,Sell,T,2019-09-09
5,2019-09-09,Buy,MSI,2019-09-09
6,2019-09-09,Buy,T,2019-09-09
7,2019-09-09,Buy,HE,2019-09-09
8,2019-09-09,Buy,BHLB,2019-09-09
9,2019-09-10,Buy,AAN,2019-09-10
10,2019-09-10,Buy,AWR,2019-09-10
11,2019-09-11,Buy,WTR,2019-09-11
12,2019-09-11,Buy,HE,2019-09-11
13,2019-09-11,Buy,AWR,2019-09-11
14,2019-09-13,Sell,NWHM,2019-09-13
15,2019-09-13,Buy,HE,2019-09-13
16,2019-09-13,Buy,UFI,2019-09-13
17,2019-09-17,Buy,RMD,2019-09-17
18,2019-09-17,Buy,MCD,2019-09-17
19,2019-09-17,Buy,TXN,2019-09-17
20,2019-09-17,Buy,ORCL,2019-09-17
21,2019-09-18,Buy,WMT,2019-09-18
22,2019-09-18,Buy,HE,2019-09-18
23,2019-09-19,Sell,ESI,2019-09-19
24,2019-09-19,Buy,POOL,2019-09-19
25,2019-09-20,Buy,POOL,2019-09-20
26,2019-09-20,Buy,CWST,2019-09-20
27,2019-09-23,Buy,IDXX,2019-09-23
28,2019-09-23,Sell,BCH,2019-09-23
29,2019-09-23,Buy,CASY,2019-09-23
30,2019-09-24,Sell,PACW,2019-09-24
31,2019-09-24,Sell,ESI,2019-09-24
32,2019-09-25,Buy,BRKR,2019-09-25
33,2019-09-25,Buy,MSI,2019-09-25
34,2019-09-25,Buy,AWR,2019-09-25
35,2019-09-25,Buy,EVER,2019-09-25
36,2019-09-26,Sell,ESI,2019-09-26
37,2019-09-26,Buy,IDXX,2019-09-26
38,2019-09-27,Sell,DKS,2019-09-27
39,2019-09-27,Buy,XOM,2019-09-27
40,2019-09-27,Sell,DEI,2019-09-27
41,2019-09-30,Buy,MSI,2019-09-30
42,2019-09-30,Buy,CMCSA,2019-09-30
43,2019-09-30,Sell,DEI,2019-09-30
44,2019-09-30,Buy,RST,2019-09-30
45,2019-09-30,Buy,AJG,2019-09-30
46,2019-09-30,Buy,PULS,2019-09-30
47,2019-10-01,Sell,DKS,2019-10-01
48,2019-10-01,Buy,VSAT,2019-10-01
49,2019-10-01,Buy,CWST,2019-10-01
50,2019-10-02,Buy,AWR,2019-10-02
51,2019-10-02,Buy,VSAT,2019-10-02
52,2019-10-02,Buy,ARCC,2019-10-02
53,2019-10-03,Buy,TEX,2019-10-03
54,2019-10-03,Buy,KO,2019-10-03
55,2019-10-03,Buy,AWR,2019-10-03
56,2019-10-03,Buy,CWST,2019-10-03
57,2019-10-04,Buy,HES,2019-10-04
58,2019-10-04,Buy,IDXX,2019-10-04
59,2019-10-04,Buy,HE,2019-10-04
60,2019-10-04,Buy,VSAT,2019-10-04
61,2019-10-04,Sell,DEI,2019-10-04
62,2019-10-04,Buy,FLIR,2019-10-04
63,2019-10-04,Buy,CMCSA,2019-10-04
64,2019-10-04,Buy,TXRH,2019-10-04
65,2019-10-04,Buy,AJG,2019-10-04
66,2019-10-04,Buy,AWR,2019-10-04
67,2019-10-08,Buy,GRUB,2019-10-08
68,2019-10-08,Sell,CPLP,2019-10-08
69,2019-10-09,Buy,HES,2019-10-09
70,2019-10-09,Buy,KO,2019-10-09
71,2019-10-09,Buy,HE,2019-10-09
72,2019-10-09,Buy,TCO,2019-10-09
73,2019-10-10,Buy,CMCSA,2019-10-10
74,2019-10-10,Buy,TCO,2019-10-10
75,2019-10-10,Buy,CWST,2019-10-10
76,2019-10-11,Sell,WSBF,2019-10-11
77,2019-10-11,Buy,IDXX,2019-10-11
78,2019-10-11,Buy,GPC,2019-10-11
79,2019-10-11,Buy,CMCSA,2019-10-11
80,2019-10-11,Buy,JBT,2019-10-11
81,2019-10-11,Sell,ALK,2019-10-11
82,2019-10-11,Buy,NDAQ,2019-10-11
83,2019-10-14,Buy,INFY,2019-10-14
84,2019-10-15,Sell,ALK,2019-10-15
85,2019-10-15,Buy,CCI,2019-10-15
86,2019-10-16,Buy,MKC,2019-10-16
87,2019-10-16,Buy,XEL,2019-10-16
88,2019-10-17,Sell,AI,2019-10-17
89,2019-10-17,Sell,ALK,2019-10-17
90,2019-10-17,Buy,AJG,2019-10-17
91,2019-10-17,Buy,HE,2019-10-17
92,2019-10-17,Buy,BHLB,2019-10-17
93,2019-10-18,Buy,WAFD,2019-10-18
94,2019-10-18,Sell,NGG,2019-10-18
95,2019-10-18,Sell,AI,2019-10-18
96,2019-10-18,Sell,GWB,2019-10-18
97,2019-10-18,Buy,CWST,2019-10-18
98,2019-10-21,Buy,DEA,2019-10-21
99,2019-10-21,Sell,GWB,2019-10-21
